,p.val,fc,log2fc,auc.mat,log10p,species,significant
Clostridiales.species...m_12761.,0.75211242,0,0,0.506666667,0.12371724,Clostridiales.species...m_12761.,not sig
Clostridiales.species...m_14385.,0.75211242,0,0,0.506666667,0.12371724,Clostridiales.species...m_14385.,not sig
Eubacterium.limosum..r_04567.,0.75211242,0,0,0.506666667,0.12371724,Eubacterium.limosum..r_04567.,not sig
Parabacteroides.gordonii..r_01680.,0.75211242,0,0,0.506666667,0.12371724,Parabacteroides.gordonii..r_01680.,not sig
Bacteroides.clarus..r_01578.,0.753150646,-0.075888188,3.719980841,0.485087719,0.123118147,Bacteroides.clarus..r_01578.,not sig
Clostridiales.species...m_12228.,0.758406195,-0.143032882,2.805581243,0.488070175,0.120098128,Clostridiales.species...m_12228.,not sig
Parvimonas.micra..r_04287.,0.759483701,0.12263761,-3.027526603,0.512105263,0.119481542,Parvimonas.micra..r_04287.,not sig
Clostridiales.sp...r_03658.,0.760536496,0.15217113,-2.716233418,0.482807018,0.118879941,Clostridiales.sp...r_03658.,not sig
Firmicutes.bacterium..r_00858.,0.761387743,0.003372008,-8.212176325,0.510175439,0.118394119,Firmicutes.bacterium..r_00858.,not sig
Lactobacillus.species...m_14103.,0.761387743,-0.015799371,5.983989047,0.510175439,0.118394119,Lactobacillus.species...m_14103.,not sig
Eubacterium.ramulus..r_03570.,0.761958565,-0.215042002,2.217309618,0.483157895,0.118068645,Eubacterium.ramulus..r_03570.,not sig
Erysipelatoclostridium.ramosum..r_03439.,0.763430454,-0.160546281,2.638938851,0.484035088,0.11723052,Erysipelatoclostridium.ramosum..r_03439.,not sig
Clostridium.sp..CAG.964..r_07656.,0.765106429,0,0,0.506315789,0.116278149,Clostridium.sp..CAG.964..r_07656.,not sig
Lactobacillus.curvatus..r_01608.,0.765106429,0,0,0.506315789,0.116278149,Lactobacillus.curvatus..r_01608.,not sig
Lactococcus.lactis..r_01301.,0.765106429,0,0,0.506315789,0.116278149,Lactococcus.lactis..r_01301.,not sig
Streptococcus.oralis..r_00291.,0.765106429,0,0,0.506315789,0.116278149,Streptococcus.oralis..r_00291.,not sig
Clostridiales.species...m_12251.,0.766348803,0.13127684,-2.929315677,0.511754386,0.115573517,Clostridiales.species...m_12251.,not sig
Bifidobacterium.catenulatum.kashiwanohense..r_02701.,0.766559036,-0.235416513,2.086712578,0.486315789,0.115454393,Bifidobacterium.catenulatum.kashiwanohense..r_02701.,not sig
Streptococcus.intermedius..r_00571.,0.771338447,0.15440288,-2.695228433,0.509122807,0.112755021,Streptococcus.intermedius..r_00571.,not sig
Clostridiales.species...m_13847.,0.774236059,-0.134239206,2.897122005,0.489824561,0.111126606,Clostridiales.species...m_13847.,not sig
Lactobacillus.reuteri..r_04085.,0.777675502,-0.019960674,5.646695729,0.490526316,0.109201582,Lactobacillus.reuteri..r_04085.,not sig
Clostridium.sp..CAG.452..r_07631.,0.778166891,0,0,0.505964912,0.108927251,Clostridium.sp..CAG.452..r_07631.,not sig
Eubacterium.sp..CAG.115..r_07672.,0.778166891,0,0,0.505964912,0.108927251,Eubacterium.sp..CAG.115..r_07672.,not sig
Prevotella.buccalis..r_01953.,0.778166891,0,0,0.505964912,0.108927251,Prevotella.buccalis..r_01953.,not sig
Eubacterium.sp..CAG.581..r_07680.,0.778950771,0,0,0.492631579,0.108489989,Eubacterium.sp..CAG.581..r_07680.,not sig
Senegalimassilia.anaerobia..r_06538.,0.77950841,-0.060154988,4.055171821,0.485263158,0.108179195,Senegalimassilia.anaerobia..r_06538.,not sig
Firmicutes.bacterium.ADurb.Bin467..m_12694.,0.780501303,-0.021309274,5.552374727,0.487719298,0.107626368,Firmicutes.bacterium.ADurb.Bin467..m_12694.,not sig
Clostridium.sp...r_03618.,0.781029066,-0.22025598,2.182746903,0.488070175,0.107332803,Clostridium.sp...r_03618.,not sig
Ruminococcus.sp..CAG.177..m_12400.,0.784618926,0.125011609,-2.999866015,0.512982456,0.10534122,Ruminococcus.sp..CAG.177..m_12400.,not sig
Ruminococcus.sp..CAG.254..m_12276.,0.787406158,-0.1321121,2.920165482,0.488421053,0.103801193,Ruminococcus.sp..CAG.254..m_12276.,not sig
Clostridiales.species...m_13784.,0.788829785,0.147330555,-2.762871435,0.508421053,0.103016699,Clostridiales.species...m_13784.,not sig
Roseburia.species...m_12366.,0.788873969,-0.247502266,2.014486359,0.515087719,0.102992374,Roseburia.species...m_12366.,not sig
Clostridiales.species...m_13176.,0.79051815,-0.101895431,3.294838735,0.489473684,0.102088154,Clostridiales.species...m_13176.,not sig
Actinomyces.gerencseriae..r_06712.,0.791290319,0,0,0.505614035,0.101664147,Actinomyces.gerencseriae..r_06712.,not sig
Bacteroides.fragilis..r_01598.,0.791290319,0,0,0.505614035,0.101664147,Bacteroides.fragilis..r_01598.,not sig
Clostridiales.species...m_12390.,0.791290319,0,0,0.505614035,0.101664147,Clostridiales.species...m_12390.,not sig
Dehalococcoidales.species...m_12257.,0.791290319,0,0,0.505614035,0.101664147,Dehalococcoidales.species...m_12257.,not sig
Desulfovibrio.desulfuricans..r_06852.,0.791290319,0,0,0.505614035,0.101664147,Desulfovibrio.desulfuricans..r_06852.,not sig
Firmicutes.species...m_13184.,0.791290319,0,0,0.505614035,0.101664147,Firmicutes.species...m_13184.,not sig
Bacteroides.massiliensis..r_02135.,0.791697446,-0.002068088,8.917486797,0.514561404,0.101440756,Bacteroides.massiliensis..r_02135.,not sig
Ruminococcaceae.bacterium.D5..r_08483.,0.792304874,0.185674327,-2.429153746,0.512280702,0.101107673,Ruminococcaceae.bacterium.D5..r_08483.,not sig
X.Ruminococcus..torques..r_03659.,0.793375518,0.217837477,-2.198675917,0.514561404,0.100521205,X.Ruminococcus..torques..r_03659.,not sig
Clostridiales.sp...r_03661.,0.794282188,0.166095771,-2.589912751,0.512280702,0.100025177,Clostridiales.sp...r_03661.,not sig
Clostridiales.species...m_12309.,0.796157546,-0.111677739,3.162586453,0.488070175,0.099000984,Clostridiales.species...m_12309.,not sig
Anaerostipes.caccae..r_03440.,0.797616149,-0.138148603,2.855707126,0.491929825,0.098206062,Anaerostipes.caccae..r_03440.,not sig
Ruminococcus.species...m_12711.,0.800034417,0,0,0.493333333,0.096891329,Ruminococcus.species...m_12711.,not sig
Neglecta.timonensis..r_09386.,0.802289287,-0.004176428,7.90351479,0.508421053,0.095669007,Neglecta.timonensis..r_09386.,not sig
Sutterella.wadsworthensis..r_03066.,0.803659976,0.29471041,-1.762630075,0.511929825,0.09492766,Sutterella.wadsworthensis..r_03066.,not sig
Bacteroides.cellulosilyticus.fragilis..r_01597.,0.803781494,-0.031581513,4.984775915,0.512631579,0.094861997,Bacteroides.cellulosilyticus.fragilis..r_01597.,not sig
Desulfovibrio.fairfieldensis..r_06308.,0.804406278,0,0,0.506140351,0.094524548,Desulfovibrio.fairfieldensis..r_06308.,not sig
Ruminococcus.species...m_12535.,0.804473175,0,0,0.505263158,0.094488433,Ruminococcus.species...m_12535.,not sig
Sutterella.species...m_13005.,0.804473175,0,0,0.505263158,0.094488433,Sutterella.species...m_13005.,not sig
Lentisphaerae.species...m_12568.,0.807053723,0.042381564,-4.560419374,0.512631579,0.093097554,Lentisphaerae.species...m_12568.,not sig
Verrucomicrobia.bacterium.CAG.312_58_20..m_12743.,0.809467842,-0.026810168,5.221075948,0.492982456,0.0918004,Verrucomicrobia.bacterium.CAG.312_58_20..m_12743.,not sig
Clostridiales.species...m_13486.,0.8106322,0,0,0.493684211,0.091176149,Clostridiales.species...m_13486.,not sig
Sutterella.sp..CAG.521..m_12558.,0.8106322,0,0,0.493684211,0.091176149,Sutterella.sp..CAG.521..m_12558.,not sig
Streptococcus.timonensis..r_00309.,0.811090756,0.039516498,-4.661401097,0.509122807,0.090930548,Streptococcus.timonensis..r_00309.,not sig
Clostridium.sp..AT4..r_09167.,0.813032391,0.138767063,-2.84926292,0.508421053,0.089892152,Clostridium.sp..AT4..r_09167.,not sig
Lentisphaerae.bacterium.ADurb.Bin242..m_12416.,0.814890675,0.123274503,-3.02005366,0.509298246,0.088900652,Lentisphaerae.bacterium.ADurb.Bin242..m_12416.,not sig
Bacteroidales.species...m_12699.,0.815698456,0,0,0.505789474,0.088470359,Bacteroidales.species...m_12699.,not sig
Catabacter.hongkongensis..r_06126.,0.818809814,-0.052622498,4.248176464,0.492280702,0.086816961,Catabacter.hongkongensis..r_06126.,not sig
Prevotella.species...m_12281.,0.818809814,-9.15E-06,16.73761907,0.492280702,0.086816961,Prevotella.species...m_12281.,not sig
Niameybacter.massiliensis..m_12700.,0.820429076,0,0,0.506315789,0.085958957,Niameybacter.massiliensis..m_12700.,not sig
Propionibacterium.acidifaciens..r_07012.,0.821264809,0,0,0.494035088,0.085516786,Propionibacterium.acidifaciens..r_07012.,not sig
uncultured.Clostridium.sp...r_11609.,0.821621419,-0.264150204,1.920569569,0.490877193,0.085328248,uncultured.Clostridium.sp...r_11609.,not sig
Clostridiales.species...m_12497.,0.822011035,-0.029709843,5.072915191,0.491403509,0.085122352,Clostridiales.species...m_12497.,not sig
Faecalibacterium.species...m_12331.,0.822122255,-0.120718813,3.050277566,0.511578947,0.085063595,Faecalibacterium.species...m_12331.,not sig
Coprococcus.catus..r_11851.,0.823825892,0.545269697,-0.874958113,0.512631579,0.084164563,Coprococcus.catus..r_11851.,not sig
Mailhella.massiliensis..m_14272.,0.825287973,0.049584473,-4.33396778,0.489298246,0.083394484,Mailhella.massiliensis..m_14272.,not sig
Bifidobacterium.pseudocatenulatum..r_02700.,0.826706084,-0.181365297,2.463029665,0.489473684,0.082648866,Bifidobacterium.pseudocatenulatum..r_02700.,not sig
Clostridiales.species...m_12894.,0.831930357,0,0,0.494385965,0.079913028,Clostridiales.species...m_12894.,not sig
Hungatella.hathewayi..r_11861.,0.831930357,0,0,0.494385965,0.079913028,Hungatella.hathewayi..r_11861.,not sig
Clostridia.species...m_13568.,0.832568063,0,0,0.495087719,0.079580253,Clostridia.species...m_13568.,not sig
Firmicutes.species...m_13605.,0.832568063,0,0,0.495087719,0.079580253,Firmicutes.species...m_13605.,not sig
Firmicutes.species...m_14146.,0.832568063,0,0,0.495087719,0.079580253,Firmicutes.species...m_14146.,not sig
Weissella.cibaria..r_00255.,0.832568063,0,0,0.495087719,0.079580253,Weissella.cibaria..r_00255.,not sig
Streptococcus.sp...r_00282.,0.834689528,0.164955392,-2.59985216,0.509122807,0.078475035,Streptococcus.sp...r_00282.,not sig
Dialister.sp..CAG.357..m_12661.,0.83839575,0,0,0.505087719,0.076550932,Dialister.sp..CAG.357..m_12661.,not sig
Lawsonella.clevelandensis..r_04683.,0.83839575,0,0,0.505087719,0.076550932,Lawsonella.clevelandensis..r_04683.,not sig
Clostridiales.sp...r_03605.,0.842698359,-0.015558583,6.006145558,0.490701754,0.074327852,Clostridiales.sp...r_03605.,not sig
Actinomyces.radicidentis..r_06665.,0.844806505,0,0,0.495438596,0.073242751,Actinomyces.radicidentis..r_06665.,not sig
Firmicutes.bacterium.CAG.95..r_07718.,0.844806505,0,0,0.495438596,0.073242751,Firmicutes.bacterium.CAG.95..r_07718.,not sig
uncultured.Clostridium.sp...r_06391.,0.84716945,0.159962954,-2.644190265,0.509122807,0.072029714,uncultured.Clostridium.sp...r_06391.,not sig
Clostridiales.species...m_12361.,0.84928701,-0.039219013,4.672302955,0.489473684,0.070945519,Clostridiales.species...m_12361.,not sig
Clostridiales.species...m_12382.,0.850706409,0.00445411,-7.810647008,0.507368421,0.070220295,Clostridiales.species...m_12382.,not sig
Sutterella.species...m_12967.,0.850813915,0,0,0.505263158,0.070165416,Sutterella.species...m_12967.,not sig
Bacteroides.salyersiae..r_02140.,0.85309322,0.173658867,-2.525672016,0.50877193,0.06900351,Bacteroides.salyersiae..r_02140.,not sig
Clostridiaceae.species...m_12374.,0.853352643,0,0,0.495087719,0.068871462,Clostridiaceae.species...m_12374.,not sig
Staphylococcus.sp..CAG.324..r_07714.,0.853352643,0,0,0.495087719,0.068871462,Staphylococcus.sp..CAG.324..r_07714.,not sig
uncultured.Clostridium.sp...r_03623.,0.857079211,0.165230966,-2.597444004,0.507192982,0.066979039,uncultured.Clostridium.sp...r_03623.,not sig
Bacteroidaceae.species...m_12357.,0.85708252,0,0,0.495789474,0.066977362,Bacteroidaceae.species...m_12357.,not sig
Prevotella.species...m_13357.,0.85708252,0,0,0.495789474,0.066977362,Prevotella.species...m_13357.,not sig
Roseburia.sp..CAG.182..m_12852.,0.85708252,0,0,0.495789474,0.066977362,Roseburia.sp..CAG.182..m_12852.,not sig
Faecalicatena.contorta..r_03445.,0.857134928,0.167837856,-2.574859944,0.509824561,0.066950807,Faecalicatena.contorta..r_03445.,not sig
X.Eubacterium..eligens..r_02375.,0.858523221,-0.017701552,5.819980304,0.51,0.066247954,X.Eubacterium..eligens..r_02375.,not sig
Alistipes.species...m_13154.,0.859780045,-0.194280941,2.363783718,0.494385965,0.065612639,Alistipes.species...m_13154.,not sig
Sutterellaceae.species...m_12394.,0.860449071,-0.013534042,6.207263395,0.494035088,0.06527483,Sutterellaceae.species...m_12394.,not sig
Bacteroidales.species...m_12950.,0.860993991,0,0,0.504912281,0.06499988,Bacteroidales.species...m_12950.,not sig
Sutterella.species...m_12840.,0.861228302,0,0,0.504385965,0.064881707,Sutterella.species...m_12840.,not sig
Alistipes.finegoldii.onderdonkii..r_03069.,0.862993418,-0.266994144,1.905119997,0.509824561,0.063992517,Alistipes.finegoldii.onderdonkii..r_03069.,not sig
Clostridiales.species...m_13199.,0.864105524,0,0,0.495438596,0.063433219,Clostridiales.species...m_13199.,not sig
Clostridium.species...m_12640.,0.867697426,-0.122115107,3.033686404,0.491578947,0.061631691,Clostridium.species...m_12640.,not sig
Clostridiales.species...m_13031.,0.86810632,0.087534508,-3.514004327,0.505964912,0.061427082,Clostridiales.species...m_13031.,not sig
Clostridia.bacterium.UC5.1.2E3..r_09093.,0.868741606,-0.148505066,2.751415947,0.494736842,0.061109379,Clostridia.bacterium.UC5.1.2E3..r_09093.,not sig
Weissella.confusa..r_00254.,0.869393204,0,0,0.496140351,0.060783759,Weissella.confusa..r_00254.,not sig
Clostridiales.species...m_12691.,0.869586404,-0.06177687,4.016789401,0.492982456,0.060687259,Clostridiales.species...m_12691.,not sig
Clostridium.sp..CAG.226..m_12471.,0.869586404,-0.013242407,6.238690776,0.492982456,0.060687259,Clostridium.sp..CAG.226..m_12471.,not sig
Collinsella.sp...r_03625.,0.869705378,0.012974749,-6.268149584,0.506315789,0.060627845,Collinsella.sp...r_03625.,not sig
Firmicutes.bacterium.CAG.94..r_07719.,0.871197216,0,0,0.504561404,0.059883521,Firmicutes.bacterium.CAG.94..r_07719.,not sig
Anaerotruncus.sp..CAG.528..r_07590.,0.871711385,0,0,0.496842105,0.059627282,Anaerotruncus.sp..CAG.528..r_07590.,not sig
Bacteroides.congonensis..r_03477.,0.871711385,0,0,0.496842105,0.059627282,Bacteroides.congonensis..r_03477.,not sig
Clostridiales.species...m_12547.,0.871711385,0,0,0.496842105,0.059627282,Clostridiales.species...m_12547.,not sig
Clostridiales.species...m_12561.,0.871711385,0,0,0.496842105,0.059627282,Clostridiales.species...m_12561.,not sig
Clostridiales.species...m_12655.,0.871711385,0,0,0.496842105,0.059627282,Clostridiales.species...m_12655.,not sig
Clostridiales.species...m_12997.,0.871711385,0,0,0.496842105,0.059627282,Clostridiales.species...m_12997.,not sig
Phascolarctobacterium.species...m_13037.,0.871711385,0,0,0.496842105,0.059627282,Phascolarctobacterium.species...m_13037.,not sig
Mitsuokella.jalaludinii..r_04328.,0.874883631,0,0,0.495789474,0.058049709,Mitsuokella.jalaludinii..r_04328.,not sig
Clostridiales.species...m_13710.,0.881735628,0,0,0.496491228,0.05466161,Clostridiales.species...m_13710.,not sig
Hungatella.hathewayi..r_03436.,0.881770973,-0.03509482,4.832598086,0.492280702,0.054644202,Hungatella.hathewayi..r_03436.,not sig
Blautia.obeum..r_05140.,0.883150368,0.713939115,-0.486127049,0.491578947,0.053965346,Blautia.obeum..r_05140.,not sig
Clostridium.disporicum..r_03656.,0.883972444,0.126589298,-2.981772656,0.505263158,0.053561273,Clostridium.disporicum..r_03656.,not sig
Azospirillum.species...m_12508.,0.884177432,0,0,0.503684211,0.053460575,Azospirillum.species...m_12508.,not sig
Ruminococcus.species...m_13712.,0.884177432,0,0,0.503684211,0.053460575,Ruminococcus.species...m_13712.,not sig
Clostridiales.species...m_12476.,0.885164347,-0.49476106,1.015196138,0.508245614,0.052976087,Clostridiales.species...m_12476.,not sig
Clostridium.sp..CAG.288..r_07618.,0.885685001,0,0,0.496140351,0.05272071,Clostridium.sp..CAG.288..r_07618.,not sig
Clostridiales.species...m_12254.,0.885915308,0.191289751,-2.386168519,0.507368421,0.052607794,Clostridiales.species...m_12254.,not sig
Holdemania.filiformis..r_05921.,0.88618384,-0.049679732,4.331198807,0.506140351,0.052476174,Holdemania.filiformis..r_05921.,not sig
Clostridiales.bacterium.VE202.09..r_03441.,0.886695498,0,0,0.497192982,0.052225497,Clostridiales.bacterium.VE202.09..r_03441.,not sig
Firmicutes.species...m_14214.,0.886695498,0,0,0.497192982,0.052225497,Firmicutes.species...m_14214.,not sig
Emergencia.timonensis..r_09387.,0.886956619,0.076602826,-3.706458573,0.504385965,0.052097621,Emergencia.timonensis..r_09387.,not sig
Roseburia.intestinalis..r_03702.,0.889526339,0.018666702,-5.743389155,0.492105263,0.050841188,Roseburia.intestinalis..r_03702.,not sig
Atopobiaceae.species...m_13944.,0.89060392,-0.061209649,4.030097092,0.495438596,0.050315397,Atopobiaceae.species...m_13944.,not sig
Clostridiales.species...m_13623.,0.891666429,0,0,0.503859649,0.049797584,Clostridiales.species...m_13623.,not sig
Lactonifactor.longoviformis..r_06928.,0.891666429,0,0,0.503859649,0.049797584,Lactonifactor.longoviformis..r_06928.,not sig
Firmicutes.species...m_12384.,0.894106839,0,0,0.496842105,0.048610583,Firmicutes.species...m_12384.,not sig
Lactobacillus.plantarum..r_00930.,0.894106839,0,0,0.496842105,0.048610583,Lactobacillus.plantarum..r_00930.,not sig
Firmicutes.bacterium..r_03677.,0.895689794,0,0,0.503333333,0.047842375,Firmicutes.bacterium..r_03677.,not sig
Clostridiales.species...m_12437.,0.895797472,0.173077166,-2.530512694,0.507017544,0.047790168,Clostridiales.species...m_12437.,not sig
Firmicutes.species...m_12231.,0.89632128,0.073513466,-3.76584765,0.504035088,0.047536293,Firmicutes.species...m_12231.,not sig
Clostridiales.species...m_12494.,0.898438097,0.027890975,-5.164057814,0.505789474,0.046511841,Clostridiales.species...m_12494.,not sig
Agathobaculum.desmolans..r_08185.,0.901720227,0,0,0.49754386,0.044928189,Agathobaculum.desmolans..r_08185.,not sig
Clostridiales.species...m_14076.,0.901720227,0,0,0.49754386,0.044928189,Clostridiales.species...m_14076.,not sig
Clostridium.species...m_12650.,0.901720227,0,0,0.49754386,0.044928189,Clostridium.species...m_12650.,not sig
Eubacterium.sp..CAG.274..r_07678.,0.901720227,0,0,0.49754386,0.044928189,Eubacterium.sp..CAG.274..r_07678.,not sig
Firmicutes.bacterium.CAG.345..r_07739.,0.901720227,0,0,0.49754386,0.044928189,Firmicutes.bacterium.CAG.345..r_07739.,not sig
Fusobacterium.equinum.gonidiaformans..r_04102.,0.901720227,0,0,0.49754386,0.044928189,Fusobacterium.equinum.gonidiaformans..r_04102.,not sig
Fusobacterium.sp...r_02371.,0.901720227,0,0,0.49754386,0.044928189,Fusobacterium.sp...r_02371.,not sig
Weissella.viridescens..r_05079.,0.901720227,0,0,0.49754386,0.044928189,Weissella.viridescens..r_05079.,not sig
Akkermansia.sp..CAG.344..r_03592.,0.90192905,0,0,0.503508772,0.044827625,Akkermansia.sp..CAG.344..r_03592.,not sig
Bacteroides.sp..CAG.144..r_07595.,0.90192905,0,0,0.503508772,0.044827625,Bacteroides.sp..CAG.144..r_07595.,not sig
Eubacterium.species...m_12314.,0.902217483,-0.584316549,0.775177944,0.507017544,0.044688762,Eubacterium.species...m_12314.,not sig
Clostridiales.species...m_13774.,0.903162491,-0.039690902,4.65504783,0.494912281,0.044234107,Clostridiales.species...m_13774.,not sig
Eggerthella.sp..CAG.368..m_13928.,0.905700407,0.056749333,-4.139252761,0.503684211,0.043015437,Eggerthella.sp..CAG.368..m_13928.,not sig
Flavobacteriia.species...m_14202.,0.908105489,-0.100785725,3.310636777,0.495087719,0.041863699,Flavobacteriia.species...m_14202.,not sig
Lactobacillus.delbrueckii..r_01298.,0.91199729,0.09957871,-3.328018866,0.504561404,0.040006452,Lactobacillus.delbrueckii..r_01298.,not sig
Eubacterium.sp..CAG.180..r_07675.,0.915520259,0.107922158,-3.211936998,0.494385965,0.038332041,Eubacterium.sp..CAG.180..r_07675.,not sig
Anaerotruncus.colihominis..r_03438.,0.916581847,0.199640178,-2.324525998,0.505789474,0.037828748,Anaerotruncus.colihominis..r_03438.,not sig
Clostridiales.species...m_13819.,0.916780244,0,0,0.497894737,0.037734754,Clostridiales.species...m_13819.,not sig
Firmicutes.species...m_14410.,0.916780244,0,0,0.497894737,0.037734754,Firmicutes.species...m_14410.,not sig
Streptococcus.agalactiae..r_01860.,0.916780244,0,0,0.497894737,0.037734754,Streptococcus.agalactiae..r_01860.,not sig
Clostridiales.species...m_14120.,0.91820883,0,0,0.497192982,0.037058535,Clostridiales.species...m_14120.,not sig
Firmicutes.species...m_13105.,0.91892371,0,0,0.49754386,0.036720543,Firmicutes.species...m_13105.,not sig
Firmicutes.bacterium.CAG.170..r_07733.,0.919012224,0.014412962,-6.116489296,0.495789474,0.036678712,Firmicutes.bacterium.CAG.170..r_07733.,not sig
Bacteroidales.species...m_13838.,0.922501835,0,0,0.502807018,0.035032761,Bacteroidales.species...m_13838.,not sig
Dehalococcoidales.species...m_12232.,0.922501835,0,0,0.502807018,0.035032761,Dehalococcoidales.species...m_12232.,not sig
Faecalibacterium.species...m_12303.,0.922501835,0,0,0.502807018,0.035032761,Faecalibacterium.species...m_12303.,not sig
Finegoldia.magna..r_03572.,0.922501835,0,0,0.502807018,0.035032761,Finegoldia.magna..r_03572.,not sig
Akkermansia.sp...r_02555.,0.925781549,0,0,0.498596491,0.033491479,Akkermansia.sp...r_02555.,not sig
Alistipes.sp..Zagget8..r_01018.,0.925781549,0,0,0.498596491,0.033491479,Alistipes.sp..Zagget8..r_01018.,not sig
Anaeromassilibacillus.sp..An200..m_14434.,0.925781549,0,0,0.498596491,0.033491479,Anaeromassilibacillus.sp..An200..m_14434.,not sig
Atopobium.minutum..r_01950.,0.925781549,0,0,0.498596491,0.033491479,Atopobium.minutum..r_01950.,not sig
Bacteria.species...m_14124.,0.925781549,0,0,0.498596491,0.033491479,Bacteria.species...m_14124.,not sig
Bacteroides.ndongoniae..r_03596.,0.925781549,0,0,0.498596491,0.033491479,Bacteroides.ndongoniae..r_03596.,not sig
Bulleidia.extructa..r_11759.,0.925781549,0,0,0.498596491,0.033491479,Bulleidia.extructa..r_11759.,not sig
Burkholderiales.bacterium.YL45..m_13139.,0.925781549,0,0,0.498596491,0.033491479,Burkholderiales.bacterium.YL45..m_13139.,not sig
Carnobacterium.divergens..r_04484.,0.925781549,0,0,0.498596491,0.033491479,Carnobacterium.divergens..r_04484.,not sig
Clostridiales.species...m_12601.,0.925781549,0,0,0.498596491,0.033491479,Clostridiales.species...m_12601.,not sig
Clostridiales.species...m_12725.,0.925781549,0,0,0.498596491,0.033491479,Clostridiales.species...m_12725.,not sig
Clostridiales.species...m_12745.,0.925781549,0,0,0.498596491,0.033491479,Clostridiales.species...m_12745.,not sig
Clostridiales.species...m_12903.,0.925781549,0,0,0.498596491,0.033491479,Clostridiales.species...m_12903.,not sig
Clostridiales.species...m_13212.,0.925781549,0,0,0.498596491,0.033491479,Clostridiales.species...m_13212.,not sig
Clostridiales.species...m_13385.,0.925781549,0,0,0.498596491,0.033491479,Clostridiales.species...m_13385.,not sig
Clostridiales.species...m_13626.,0.925781549,0,0,0.498596491,0.033491479,Clostridiales.species...m_13626.,not sig
Clostridiales.species...m_13640.,0.925781549,0,0,0.498596491,0.033491479,Clostridiales.species...m_13640.,not sig
Clostridiales.species...m_13742.,0.925781549,0,0,0.498596491,0.033491479,Clostridiales.species...m_13742.,not sig
Clostridiales.species...m_14106.,0.925781549,0,0,0.498596491,0.033491479,Clostridiales.species...m_14106.,not sig
Clostridiales.species...m_14239.,0.925781549,0,0,0.498596491,0.033491479,Clostridiales.species...m_14239.,not sig
Clostridiales.species...m_14320.,0.925781549,0,0,0.498596491,0.033491479,Clostridiales.species...m_14320.,not sig
Clostridium.sp..CAG.1000..r_07606.,0.925781549,0,0,0.498596491,0.033491479,Clostridium.sp..CAG.1000..r_07606.,not sig
Clostridium.sp..CAG.169..r_07614.,0.925781549,0,0,0.498596491,0.033491479,Clostridium.sp..CAG.169..r_07614.,not sig
Clostridium.sp..CAG.411..r_07623.,0.925781549,0,0,0.498596491,0.033491479,Clostridium.sp..CAG.411..r_07623.,not sig
Clostridium.sp..CAG.448..m_13567.,0.925781549,0,0,0.498596491,0.033491479,Clostridium.sp..CAG.448..m_13567.,not sig
Clostridium.sp..CAG.448..r_07629.,0.925781549,0,0,0.498596491,0.033491479,Clostridium.sp..CAG.448..r_07629.,not sig
Clostridium.sp..CAG.710..r_07648.,0.925781549,0,0,0.498596491,0.033491479,Clostridium.sp..CAG.710..r_07648.,not sig
Clostridium.sp...r_03608.,0.925781549,0,0,0.498596491,0.033491479,Clostridium.sp...r_03608.,not sig
Clostridium.sp...r_03613.,0.925781549,0,0,0.498596491,0.033491479,Clostridium.sp...r_03613.,not sig
Clostridium.species...m_12350.,0.925781549,0,0,0.498596491,0.033491479,Clostridium.species...m_12350.,not sig
Clostridium.species...m_13418.,0.925781549,0,0,0.498596491,0.033491479,Clostridium.species...m_13418.,not sig
Clostridium.species...m_13757.,0.925781549,0,0,0.498596491,0.033491479,Clostridium.species...m_13757.,not sig
Coprobacillus.sp..CAG.698..r_07659.,0.925781549,0,0,0.498596491,0.033491479,Coprobacillus.sp..CAG.698..r_07659.,not sig
Coraliomargarita.sp..CAG.312..m_13914.,0.925781549,0,0,0.498596491,0.033491479,Coraliomargarita.sp..CAG.312..m_13914.,not sig
Corynebacterium.vitaeruminis..r_03331.,0.925781549,0,0,0.498596491,0.033491479,Corynebacterium.vitaeruminis..r_03331.,not sig
Firmicutes.bacterium.CAG.555..r_07745.,0.925781549,0,0,0.498596491,0.033491479,Firmicutes.bacterium.CAG.555..r_07745.,not sig
Firmicutes.species...m_13737.,0.925781549,0,0,0.498596491,0.033491479,Firmicutes.species...m_13737.,not sig
Methanomicrobia.species...m_13029.,0.925781549,0,0,0.498596491,0.033491479,Methanomicrobia.species...m_13029.,not sig
Olegusella.massiliensis..r_01956.,0.925781549,0,0,0.498596491,0.033491479,Olegusella.massiliensis..r_01956.,not sig
Oribacterium.species...m_12697.,0.925781549,0,0,0.498596491,0.033491479,Oribacterium.species...m_12697.,not sig
Parvimonas.sp..oral.taxon.110..r_04288.,0.925781549,0,0,0.498596491,0.033491479,Parvimonas.sp..oral.taxon.110..r_04288.,not sig
Peptoniphilus.duerdenii..r_01955.,0.925781549,0,0,0.498596491,0.033491479,Peptoniphilus.duerdenii..r_01955.,not sig
Peptoniphilus.sp..BV3C26..r_06668.,0.925781549,0,0,0.498596491,0.033491479,Peptoniphilus.sp..BV3C26..r_06668.,not sig
Porphyromonas.sp..HMSC065F10..r_02369.,0.925781549,0,0,0.498596491,0.033491479,Porphyromonas.sp..HMSC065F10..r_02369.,not sig
Porphyromonas.species...m_14383.,0.925781549,0,0,0.498596491,0.033491479,Porphyromonas.species...m_14383.,not sig
